商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,销售量和成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量
1,2019/10/6,0.0,千姿/飞扬/潮流衣衣,4蓝冠,酸甜冰糖葫芦甜,1111元,4.7,4.7,4.8,29.90,36.90,53.00,29.90,29.90,0,1.0,S/M/L/XL/2XL/3XL,81.0,蚂蚁花呗/信用卡支付/集分宝,0.0,11569.0,11.0,0.0,471.0,268.0,30天内已售出1124件，其中交易成功712件,127.0,103.0,466.0,5.0,0.0,衣服不错/(93)/很舒服/(89)/划算/(44)/版型好/(35)/颜色很好/(21)/如实描述/(18)/面料好/(16)/没有色差/(16)/穿着美/(15)/款式好/(11),
1,2019/10/6,0.0,TW小熊同学女装,1蓝冠,lalabobo特价,2019元,4.9,4.9,4.9,168.00,168.00,168.00,158.00,138.00,0,1.0,S/M/L,894.0,蚂蚁花呗/信用卡支付/集分宝,0.0,48122.0,7.0,0.0,255.0,147.0,30天内已售出1034件，其中交易成功615件,20.0,18.0,252.0,1.0,2.0,整体不错/(15)/很厚实/(10)/板型很好/(10)/穿着效果好/(7)/做工很赞/(6)/码子很准/(4)/布料好/(4)/很划算/(3),
1,2019/10/6,0.0,汤圆是卖衣服的,3金冠,翻跟斗的汤圆,1000元,4.8,4.8,4.8,299.00,189.00,169.00,159.00,99.90,淘金币最高可抵商品价/2%,1.0,S/M/L,67.0,蚂蚁花呗/信用卡支付/集分宝,0.0,2872.0,51.0,0.0,221.0,189.0,30天内已售出857件，其中交易成功604件,14.0,1.0,221.0,0.0,0.0,衣衣很舒服/(26)/质量好/(15)/色彩很好/(15)/式样好/(12)/穿上好看/(7)/款式蛮好/(4)/没有色差/(4),
1,2019/10/6,0.0,妮妮时尚精品女装88,2蓝冠,妮妮淘衣吧1993,1000元,4.7,4.7,4.7,128.00,29.00,49.00,49.00,48.00,淘金币可抵0.96元,1.0,S建议80-95斤/M建议95-108斤/L建议108-120斤/XL建议120-130斤/XXL建议130-145斤,95.0,蚂蚁花呗/信用卡支付/集分宝,0.0,2596.0,28.0,0.0,89.0,218.0,30天内已售出663件，其中交易成功596件,22.0,3.0,89.0,0.0,0.0,质量好/(17)/衣衣很舒服/(10)/很便宜/(9)/色彩很好/(9)/版式好/(8)/没有色差/(7)/穿上好看/(6)/料子好/(4),
1,2019/10/6,0.0,余小跳定制女装,5蓝冠,yan3249,2883元,4.8,4.8,4.8,199.00,175.00,168.00,142.00,86.00,淘金币可抵1.72元//10元店铺优惠券/满219元可用/领取//5元店铺优惠券/满129元可用/领取,1.0,M/L,2684.0,蚂蚁花呗/信用卡支付/集分宝,0.0,3422.0,50.0,1.0,355.0,190.0,30天内已售出810件，其中交易成功651件,15.0,0.0,354.0,0.0,1.0,整体不错/(38)/穿着效果好/(30)/版型好/(26)/颜色挺正/(25)/衣服很舒服/(22)/布料好/(11)/百搭/(9)/实惠/(9)/尺寸很准/(8)/快递不错/(6),
1,2019/10/6,0.0,YESWOMEN/小宜定制,4金冠,小宜2009,9829元,4.8,4.8,4.8,2999.99,549.99,0,549.99,99.99,0,0.0,S/M/L,12265.0,蚂蚁花呗/信用卡支付/集分宝,0.0,16057.0,187.0,0.0,40.0,236.0,30天内已售出2万+件，其中交易成功1060件,11.0,1.0,40.0,0.0,0.0,衣服很舒服/(15)/颜色挺正/(8)/质量蛮好/(7)/穿着效果好/(5)/板型很好/(5)/发货快/(3),
1,2019/10/6,1.0,鄂尔多斯市专场①店,1蓝冠,铧湫羊绒,2000元,4.8,4.8,4.8,259.00,269.00,279.00,0,259.00,0,1.0,M/L/XL/2XL,1778063.0,蚂蚁花呗/信用卡支付/集分宝,1.0,354.0,21.0,0.0,515.0,176.0,30天内已售出645件，其中交易成功552件,17.0,2.0,510.0,3.0,2.0,衣衣很舒服/(30)/质量不错/(20)/实惠/(10)/穿上好看/(8)/版型好看/(8)/料子好/(6)/衣服很合身/(6)/色彩很好/(6)/没有色差/(5)/服务不错/(4),
1,2019/10/6,0.0,雅行店,5蓝钻,芯芯床品,1000元,4.6,4.7,4.8,99.00,99.00,99.00,158.00,99.00,0,1.0,均码,44218.0,蚂蚁花呗/信用卡支付/集分宝,0.0,534.0,15.0,0.0,64.0,117.0,30天内已售出5000+件，其中交易成功1457件,10.0,3.0,62.0,0.0,2.0,0,
1,2019/10/6,0.0,小芭/STUDIO,2蓝冠,candy3993,1000元,4.7,4.8,4.8,178.00,158.00,158.00,148.00,128.00,淘金币可抵2.56元//30元店铺优惠券/满558元可用/领取//20元店铺优惠券/满338元可用/领取,1.0,均码,2893.0,蚂蚁花呗/信用卡支付/集分宝,1.0,41905.0,18.0,0.0,769.0,100.0,30天内已售出852件，其中交易成功592件,21.0,4.0,767.0,1.0,1.0,宝贝很赞/(27)/板型很好/(18)/穿着漂亮/(13)/款式好看/(7)/很舒适/(6)/很划算/(6)/做工不错/(4)/颜色很美/(4)/码子很准/(3)/与描述相符/(3),
1,2019/10/6,0.0,舞舞女装批发店,4蓝冠,舞舞ww88,1000元,4.6,4.7,4.7,49.00,55.00,0,55.00,29.90,淘金币可抵0.59元,1.0,均码,5306.0,蚂蚁花呗/信用卡支付/集分宝,0.0,23368.0,13.0,0.0,1097.0,201.0,30天内已售出620件，其中交易成功538件,13.0,1.0,1086.0,6.0,5.0,板型很好/(16)/质量好/(9)/很舒适/(6)/穿着漂亮/(4)/料子不错/(3)/款式蛮好/(3)/气味很大/(6),
