商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,30天销售量,30天成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量
601212302804,1,2019/10/3,0,ASM/ANNA,3金冠,土屋_anna,839元,4.8,4.8,4.8,3499.99,779.99,579.99,569.99,969.99,0,0,XS/S/M,1889,蚂蚁花呗/信用卡支付/集分宝,0,20443,28,1,166,191,1072,5,27,5,165,1,0,版型好/(12)/厚实/(10)/色彩很好/(10)/衣衣很舒服/(8)/质量好/(7)/穿上好看/(7)/舒适度差/(7),
599670762731,1,2019/10/3,1,戎美高端女装/高品质高性价比,4金冠,家有n多宝贝,49451.7元,4.8,4.9,4.9,5800.00,4900.00,3999.00,0,690.00,淘金币可抵13.80元,0,34码/36码/38码/40码/42码/44码,18,蚂蚁花呗/信用卡支付/集分宝,0,4679,56,0,254,173,234,116,14,3,254,0,0,版型漂亮/(23)/衣服很舒服/(22)/质量蛮好/(21)/穿着效果好/(14)/款式很潮/(12)/颜色挺正/(11)/大小合适/(10)/便宜/(3),
600898613465,1,2019/10/3,0,久久零二,1蓝冠,新淑女搭配,2000元,4.9,4.9,4.9,8600.00,5250.00,3160.00,3280.00,2720.00,0,1,XS/S/M/L/XL,16,蚂蚁花呗/信用卡支付/集分宝,0,176,6,1,28,80,67,52,0,0,28,0,0,0,
535709535634,1,2019/10/3,0,金实佳日韩直购,3蓝冠,achao800,5019元,4.9,4.9,4.9,6970.00,3550.00,3500.00,3300.00,1770.00-1870.00,淘金币可抵35.40元//80元店铺优惠券/满4999元可用/领取//40元店铺优惠券/满2999元可用/领取,1,L女款圆领/M女款圆领/S女款圆领/XS女款圆领/XL男款V领/L男款V领/M男款V领/S男款V领,2216,蚂蚁花呗/集分宝,0,2759,13,1,75,180,51,21,3,0,75,0,0,0,
603134733090,1,2019/10/3,0,ginger/ale,2蓝冠,gingerandsalt,1000元,4.9,4.9,4.9,699.00,699.00,539.00,509.00,499.00,0,0,s/十月中下旬/m/十月中下旬/L/十月中下旬,37,蚂蚁花呗/信用卡支付/集分宝,0,2181,25,1,24,144,952,97,10,1,24,0,0,0,
601836748392,1,2019/10/3,0,嘟嘟巴黎购,2蓝冠,晴天小杜猪,2100元,4.9,4.9,4.9,4600.00,2188.00,1988.00,1850.00,1588.00,0,1,0/1/2/3/4/5,514,蚂蚁花呗/信用卡支付/集分宝,1,31,9,0,1,197,26,14,0,0,1,0,0,0,
599274365835,1,2019/10/3,0,思洛町优雅女装,1金冠,冰雪混芳尘,10000元,4.8,4.8,4.8,1600.00,1499.00,1468.00,1288.00,900.00,淘金币最高可抵商品价/2%//满398减1/享部分地区包邮/满698减10/享部分地区包邮/满998减20/享部分地区包邮/满1298减30/享部分地...,0,S/M/L,38,蚂蚁花呗/信用卡支付/集分宝,0,9772,25,1,206,183,179,119,3,1,205,1,0,颜色挺正/(11)/版型漂亮/(10)/衣服很舒服/(8)/整体不错/(6)/没有色差/(5)/跟描述一致/(4)/穿着效果好/(3)/款式漂亮/(3),
601368142893,1,2019/10/3,0,小果法国代购,5蓝钻,敏捷的小羊,416元,4.9,4.9,4.9,1350.00,1310.00,1300.00,1280.00,980.00,淘金币可抵9.80元,1,1/2/3,12,信用卡支付/集分宝,0,200,5,0,95,129,138,101,0,0,95,0,0,穿着美/(20)/颜色很好/(20)/很舒服/(19)/整体不错/(18)/没有色差/(9)/板型很好/(8)/款式漂亮/(6)/做工很好/(5)/快递不错/(4)/态度不错/(3),
602966869573,1,2019/10/3,0,纯绒体验店,2蓝冠,mengxuxu0,3000元,4.9,4.9,4.9,1080.00,598.00,798.00,368.00,398.00,淘金币可抵7.96元,1,S/M/L/XL/2XL/3XL/4XL,1872,蚂蚁花呗/信用卡支付/集分宝,0,401,21,0,51,176,228,78,4,0,51,0,0,0,
599624969317,1,2019/10/3,0,金家风尚/高端羊绒女装,1蓝冠,天使晨熙,6666元,5.0,5.0,5.0,1760.00,1280.00,1280.00,1580.00,1280.00,淘金币可抵25.60元//300元店铺优惠券/满3000元可用/领取//200元店铺优惠券/满2000元可用/领取,1,均码,271,蚂蚁花呗/信用卡支付/集分宝,0,2802,10,0,50,204,133,89,1,1,50,0,0,很舒服/(27)/衣服不错/(15)/式样好/(12)/颜色很好/(12)/面料好/(10)/穿着美/(9)/衣服厚实/(9)/款式好/(7),
